           0  1073741824          25         100   9.99999978E-03
           0           0         255
           0         255         255
           0         255          20
   0.00000000       10.1999998       0.00000000    

           0           0           0         255  -8.0000000000000002E-003
           1           0          10         255  -7.8399999999999997E-003
           2           0          20         255  -7.6799999999999993E-003
           3           0          30         255  -7.5199999999999989E-003
           4           0          40         255  -7.3599999999999985E-003
           5           0          51         255  -7.1999999999999981E-003
           6           0          61         255  -7.0399999999999976E-003
           7           0          71         255  -6.8799999999999972E-003
           8           0          81         255  -6.7199999999999968E-003
           9           0          91         255  -6.5599999999999964E-003
          10           0         102         255  -6.3999999999999960E-003
          11           0         112         255  -6.2399999999999956E-003
          12           0         122         255  -6.0799999999999951E-003
          13           0         132         255  -5.9199999999999947E-003
          14           0         142         255  -5.7599999999999943E-003
          15           0         153         255  -5.5999999999999939E-003
          16           0         163         255  -5.4399999999999935E-003
          17           0         173         255  -5.2799999999999930E-003
          18           0         183         255  -5.1199999999999926E-003
          19           0         193         255  -4.9599999999999922E-003
          20           0         204         255  -4.7999999999999918E-003
          21           0         214         255  -4.6399999999999914E-003
          22           0         224         255  -4.4799999999999909E-003
          23           0         234         255  -4.3199999999999905E-003
          24           0         244         255  -4.1599999999999901E-003
          25           0         255         255  -3.9999999999999897E-003
   0.00000000       0.00000000      -9.39999962    

          26           0         255         245  -3.8399999999999897E-003
          27           0         255         236  -3.6799999999999897E-003
          28           0         255         226  -3.5199999999999897E-003
          29           0         255         217  -3.3599999999999897E-003
          30           0         255         208  -3.1999999999999897E-003
          31           0         255         198  -3.0399999999999898E-003
          32           0         255         189  -2.8799999999999898E-003
          33           0         255         179  -2.7199999999999898E-003
          34           0         255         170  -2.5599999999999898E-003
          35           0         255         161  -2.3999999999999898E-003
          36           0         255         151  -2.2399999999999898E-003
          37           0         255         142  -2.0799999999999898E-003
          38           0         255         132  -1.9199999999999899E-003
          39           0         255         123  -1.7599999999999899E-003
          40           0         255         114  -1.5999999999999899E-003
          41           0         255         104  -1.4399999999999899E-003
          42           0         255          95  -1.2799999999999899E-003
          43           0         255          85  -1.1199999999999899E-003
          44           0         255          76  -9.5999999999998994E-004
          45           0         255          67  -7.9999999999998996E-004
          46           0         255          57  -6.3999999999998997E-004
          47           0         255          48  -4.7999999999998998E-004
          48           0         255          38  -3.1999999999999000E-004
          49           0         255          29  -1.5999999999998998E-004
          50           0         255          20   1.0028870095490916E-017
   10.1999998       0.00000000     -0.799999952    

          51          10         255          19   1.6000000000001004E-004
          52          20         255          18   3.2000000000001006E-004
          53          30         255          17   4.8000000000001004E-004
          54          40         255          16   6.4000000000001003E-004
          55          51         255          16   8.0000000000001001E-004
          56          61         255          15   9.6000000000001000E-004
          57          71         255          14   1.1200000000000101E-003
          58          81         255          13   1.2800000000000101E-003
          59          91         255          12   1.4400000000000101E-003
          60         102         255          12   1.6000000000000101E-003
          61         112         255          11   1.7600000000000100E-003
          62         122         255          10   1.9200000000000100E-003
          63         132         255           9   2.0800000000000102E-003
          64         142         255           8   2.2400000000000102E-003
          65         153         255           8   2.4000000000000102E-003
          66         163         255           7   2.5600000000000102E-003
          67         173         255           6   2.7200000000000102E-003
          68         183         255           5   2.8800000000000102E-003
          69         193         255           4   3.0400000000000101E-003
          70         204         255           4   3.2000000000000101E-003
          71         214         255           3   3.3600000000000101E-003
          72         224         255           2   3.5200000000000101E-003
          73         234         255           1   3.6800000000000101E-003
          74         244         255           0   3.8400000000000101E-003
          75         255         255           0   4.0000000000000105E-003
   0.00000000      -10.1999998       0.00000000    

          76         255         244           0   4.1600000000000109E-003
          77         255         234           0   4.3200000000000113E-003
          78         255         224           0   4.4800000000000118E-003
          79         255         214           0   4.6400000000000122E-003
          80         255         204           0   4.8000000000000126E-003
          81         255         193           0   4.9600000000000130E-003
          82         255         183           0   5.1200000000000134E-003
          83         255         173           0   5.2800000000000138E-003
          84         255         163           0   5.4400000000000143E-003
          85         255         153           0   5.6000000000000147E-003
          86         255         142           0   5.7600000000000151E-003
          87         255         132           0   5.9200000000000155E-003
          88         255         122           0   6.0800000000000159E-003
          89         255         112           0   6.2400000000000164E-003
          90         255         102           0   6.4000000000000168E-003
          91         255          91           0   6.5600000000000172E-003
          92         255          81           0   6.7200000000000176E-003
          93         255          71           0   6.8800000000000180E-003
          94         255          61           0   7.0400000000000185E-003
          95         255          51           0   7.2000000000000189E-003
          96         255          40           0   7.3600000000000193E-003
          97         255          30           0   7.5200000000000197E-003
          98         255          20           0   7.6800000000000201E-003
          99         255          10           0   7.8400000000000206E-003
         100         255           0           0   8.0000000000000210E-003
